	VC10-Ctrl_S1.bam	VC11-Ctrl_S3.bam	VC35B-Ctrl_S5.bam	VC35C-Ctrl_S7.bam	VC10-VC_S2.bam	VC11-VC_S4.bam	VC35B-VC_S6.bam	VC35C-VC_S8.bam
Stk32b	0	0	0	0	0	0	0	0
Cytl1	0	0	0	0	0	0	0	0
Msx1	4	1	0	3	5	4	0	0
Stx18	102	81	71	123	87	83	45	78
Nsg1	5	3	0	2	6	3	0	0
Zbtb49	45	55	40	60	46	60	27	54
Lyar	428	366	348	603	297	328	213	378
Tmem128	125	104	84	121	119	106	54	72
Otop1	3	4	14	11	0	3	0	7
Drd5	0	0	0	0	0	0	0	0
Slc2a9	5	0	0	0	1	1	0	0
Wdr1	1069	820	970	1323	872	935	755	1080
Zfp518b	863	769	772	1140	719	954	597	796
Clnk	0	2	0	1	0	2	2	2
1700021O21Rik	0	0	0	0	0	0	0	0
Hs3st1	1	2	0	0	10	6	0	0
Rab28	145	141	127	187	148	121	92	117
Nkx3-2	0	0	0	0	0	0	0	0
Bod1l	674	608	399	645	524	735	257	398
Gm16223	1	2	1	1	5	10	0	1
Cpeb2	78	49	36	53	69	72	25	31
Gm7854	0	0	0	0	0	0	0	0
C1qtnf7	0	0	0	0	0	0	0	0
Gm15865	0	0	0	0	0	0	0	0
Gm15866	0	0	0	0	0	0	0	0
Cc2d2a	89	68	45	57	103	122	50	88
Fbxl5	791	655	636	821	1065	1020	633	858
Bst1	15	9	11	16	23	17	8	22
Cd38	373	354	206	345	453	431	220	312
Gm16014	2	0	1	0	2	4	0	0
Gm16015	0	0	0	0	0	0	0	0
AC164004.1	0	0	0	0	0	1	0	0
Gm5292	79	49	68	117	64	81	46	57
Fgfbp1	190	95	71	97	239	183	67	60
Prom1	249	205	165	199	227	189	83	125
Gm16401	0	0	0	0	0	0	0	0
Tapt1	121	131	156	214	158	147	116	131
Ldb2	0	0	0	0	0	0	0	0
4930431F12Rik	0	0	0	0	0	0	0	0
4930435H24Rik	0	0	0	0	0	0	0	0
Qdpr	816	780	935	1455	673	773	664	909
Clrn2	0	0	0	0	0	0	0	0
Lap3	2899	2467	2608	4256	2473	2763	2071	3120
Med28	296	231	241	450	251	297	201	310
Fam184b	4	2	2	2	0	0	3	2
Ncapg	1053	794	823	1384	781	785	549	848
Lcorl	76	65	58	82	97	62	33	59
Slit2	294	311	264	361	309	442	200	279
4930518C09Rik	0	0	0	0	0	0	0	0
Gm20475	0	0	0	0	0	0	0	0
Pacrgl	88	71	74	103	73	83	45	60
Kcnip4	0	0	0	0	0	0	0	0
5730480H06Rik	6	4	7	6	6	9	4	3
Gm20700	0	0	0	0	0	0	0	0
Gpr125	375	343	352	486	376	332	264	387
Ppargc1a	1	0	0	0	0	0	0	0
Dhx15	2646	2310	1927	2901	2311	2490	1427	1978
Sod3	0	0	0	0	0	0	0	0
Ccdc149	0	0	0	0	0	0	0	0
Lgi2	4	1	2	6	1	0	2	2
AC120128.1	23	15	17	32	21	29	9	12
8030423F21Rik	4	1	0	0	2	0	0	0
Sepsecs	141	139	114	161	149	161	91	117
Pi4k2b	43	30	35	82	39	28	29	34
Zcchc4	147	104	110	157	118	121	82	95
Anapc4	569	476	367	626	530	518	265	428
Slc34a2	0	0	0	0	0	0	0	0
Gm17182	0	0	0	0	0	0	0	0
Sel1l3	0	0	0	0	0	0	0	0
1810013D10Rik	93	89	79	149	94	70	61	92
Rbpj	772	644	700	912	706	772	473	704
Cckar	0	0	0	0	0	0	0	0
Tbc1d19	85	53	63	111	63	62	34	66
Stim2	119	83	80	136	111	101	63	79
Pcdh7	0	0	0	0	0	0	0	0
AC122012.1	0	0	0	0	0	0	0	0
G6pd2	54	42	36	61	46	46	32	45
Arap2	250	170	74	115	200	172	46	72
Gm17384	0	0	0	0	0	0	0	0
3110047P20Rik	0	1	3	0	0	3	0	2
Gm9954	0	1	0	0	0	0	0	0
0610040J01Rik	0	0	0	0	0	0	0	0
Rell1	468	374	276	419	496	467	249	351
Gm15819	0	0	0	0	0	0	0	0
Pgm1	348	255	210	329	305	291	177	237
Tbc1d1	411	443	409	539	407	464	286	444
Klf3	484	386	301	477	365	403	244	337
Tlr1	0	0	0	0	0	0	0	0
Tlr6	0	0	0	0	0	0	0	0
Fam114a1	11	4	6	3	5	11	4	5
Tmem156	9	9	4	6	14	6	0	3
Klhl5	78	48	25	36	79	57	30	45
Wdr19	73	68	40	73	77	95	42	57
Rfc1	1242	1054	861	1436	1129	1242	660	1006
Klb	10	10	7	17	17	17	13	17
Rpl9	567	486	481	715	490	578	331	498
Lias	220	179	161	335	190	222	148	177
Ugdh	605	489	464	696	661	657	360	512
1110003E01Rik	86	81	77	116	101	88	56	80
Ube2k	696	625	582	788	610	676	416	601
Pds5a	1515	1389	1282	1827	1263	1448	939	1284
1700022K14Rik	1	0	0	0	0	3	0	0
N4bp2	953	827	469	648	707	902	330	352
Rhoh	0	0	0	0	0	0	0	0
Chrna9	10	14	25	34	5	16	13	15
9130230L23Rik	0	0	0	0	0	0	0	0
Rbm47	80	100	116	148	82	104	77	99
Nsun7	0	0	0	0	0	0	0	0
Apbb2	451	407	275	384	376	454	214	307
Gm16832	0	0	0	1	0	0	0	0
Uchl1	108	122	172	299	87	105	108	168
Limch1	20	22	6	11	7	27	11	18
Gm15949	0	0	0	0	0	0	0	0
Gm15948	0	0	0	0	0	0	0	0
Phox2b	0	0	0	0	0	0	0	0
Tmem33	500	462	458	644	472	461	307	386
Slc30a9	276	204	191	263	250	244	146	195
Bend4	756	595	553	790	830	900	465	695
Shisa3	0	0	0	1	0	0	0	0
Atp8a1	48	48	64	101	33	36	37	45
Gm15478	0	0	0	0	0	0	0	0
Gm15477	0	0	0	0	0	0	0	0
AC161516.2	0	0	0	0	0	0	0	0
AC161516.1	0	0	0	0	0	0	0	0
Grxcr1	0	0	0	0	0	0	0	0
Kctd8	5	2	0	1	6	0	0	1
Gm5867	73	56	39	83	55	52	41	56
Yipf7	0	0	0	0	0	0	0	0
Guf1	170	164	163	212	137	165	101	161
Gnpda2	70	39	30	35	62	51	15	29
Gabrg1	0	0	0	0	0	0	0	0
Gabra2	0	0	0	0	0	0	0	0
Cox7b2	2	0	0	1	5	6	3	4
Gabra4	0	0	0	0	0	0	0	0
Gabrb1	0	0	0	0	0	0	0	0
Commd8	358	277	212	428	322	352	176	249
Atp10d	544	464	305	345	490	556	202	228
Corin	0	0	1	0	0	0	0	0
Gm20647	0	0	0	0	0	0	0	0
AU023070	0	0	0	0	0	0	0	0
Nfxl1	190	166	151	258	175	162	112	123
Zar1	0	0	0	0	0	0	0	0
Gm5868	0	0	0	0	0	0	0	0
Cnga1	0	0	0	0	0	0	0	0
Nipal1	28	22	23	27	15	28	15	19
Txk	0	0	0	0	0	0	0	0
Tec	36	19	13	14	33	15	6	16
Slain2	313	299	245	361	354	357	198	301
Gm10135	0	0	0	0	0	0	0	0
Slc10a4	0	0	0	0	0	0	0	0
Fryl	729	672	475	662	614	848	386	471
1700071G01Rik	0	0	0	0	0	0	0	0
Gm17207	0	0	1	2	2	2	0	2
Ociad1	800	674	714	1084	723	749	488	768
Ociad2	9	11	14	20	7	10	12	10
Cwh43	0	3	0	1	0	0	0	4
Dcun1d4	290	256	238	386	209	255	162	225
Lrrc66	7	2	1	0	11	13	0	0
Sgcb	28	16	16	12	34	26	11	16
Spata18	0	0	0	0	0	0	0	0
Usp46	370	345	283	438	335	405	269	343
1700094C10Rik	0	0	0	0	0	0	0	0
1700112M01Rik	0	0	0	0	0	0	0	0
2700023E23Rik	394	273	245	585	245	334	197	326
Rasl11b	31	18	28	31	22	26	9	18
Scfd2	106	76	86	123	107	120	77	112
Fip1l1	544	490	342	580	524	601	258	389
Lnx1	29	38	22	45	22	29	19	20
Gm15984	0	0	0	0	0	0	0	0
Gm15985	0	0	0	0	0	0	0	0
Gm6116	2	0	0	0	0	0	0	0
Chic2	243	231	197	242	201	215	102	172
Gsx2	0	0	0	0	0	0	0	2
Pdgfra	20	12	2	12	30	24	9	13
Kit	1673	1503	925	1355	1318	1722	704	1063
Kdr	36	18	13	19	26	21	11	20
Srd5a3	113	115	80	103	87	81	59	65
Tmem165	542	449	424	669	417	395	299	399
Clock	362	294	313	482	283	305	188	273
Pdcl2	40	35	29	52	17	13	12	26
4930432L08Rik	0	0	0	0	0	0	0	0
Nmu	0	0	0	0	0	0	0	0
Gm7271	0	0	0	0	0	0	0	0
Exoc1	340	294	293	428	327	392	238	306
Cep135	206	192	142	228	201	240	110	151
Gm10430	0	0	0	0	0	0	0	0
C530008M17Rik	21	9	1	1	17	10	0	3
Aasdh	49	46	64	79	49	53	23	54
Ppat	1476	1250	1163	1925	1248	1352	805	1291
2310040G07Rik	0	0	0	0	0	0	0	0
Paics	3328	2714	2522	4329	2799	2911	1794	2904
Srp72	1374	1188	1005	1529	1248	1338	716	1057
Arl9	0	0	0	0	0	0	0	0
1700112J05Rik	0	0	0	0	0	0	0	0
1700023E05Rik	0	0	0	0	0	0	0	0
Hopx	1	1	5	12	0	1	5	2
Gm15830	0	0	0	0	0	0	0	0
Gm15831	0	0	0	0	0	0	0	0
Spink2	0	0	0	0	0	0	0	0
Rest	2781	2698	2456	3741	2313	2783	1805	2590
Noa1	314	273	241	312	332	348	191	249
Polr2b	2168	1677	1205	2021	1679	1749	849	1287
Igfbp7	1	2	1	6	0	0	0	3
Pea15b	0	0	0	0	0	0	0	0
Lphn3	10	7	10	7	12	13	4	11
Gm16054	0	0	0	0	0	0	0	0
Tecrl	0	0	0	0	0	0	0	0
Epha5	0	0	0	0	0	0	0	0
Cenpc1	379	323	283	398	319	378	187	324
Stap1	0	0	0	0	0	0	0	0
Uba6	738	600	553	886	693	685	406	580
Gnrhr	0	0	0	0	0	0	0	0
Tmprss11c	0	0	0	0	0	0	0	0
Tmprss11d	0	0	3	2	2	1	1	5
Tmprss11a	0	0	0	0	0	0	0	0
Tmprss11g	0	0	0	0	0	0	0	0
Tmprss11f	0	0	0	0	0	0	0	0
Tmprss11bnl	0	0	0	0	0	0	0	0
Tmprss11e	0	0	0	0	0	0	0	0
Gm16579	0	0	0	0	0	0	0	0
Ythdc1	881	727	588	727	791	949	426	570
Ugt2b34	0	0	0	0	0	0	0	0
Ugt2b1	0	0	0	0	0	0	0	0
Ugt2b35	0	0	0	0	0	0	0	0
Ugt2b36	0	0	0	0	0	0	0	0
Ugt2b5	0	0	0	0	0	0	0	0
Ugt2b37	0	0	0	0	0	0	0	0
Ugt2a3	0	0	0	0	0	0	0	0
Ugt2b38	0	0	0	0	0	0	0	0
Ugt2a1	0	0	0	0	0	0	0	0
Sult1b1	0	0	0	0	0	0	0	0
Sult1d1	0	0	0	0	0	0	0	0
Sult1e1	0	0	0	0	0	0	0	0
Csn1s1	0	0	0	0	0	0	0	0
Csn2	0	0	0	0	0	0	0	0
Csn1s2a	0	0	0	0	0	0	0	0
Csn1s2b	0	0	0	0	0	0	0	0
4930432K09Rik	0	0	0	0	0	0	0	0
Gm7337	0	0	0	0	0	0	0	0
Odam	0	0	0	0	0	0	0	0
Csn3	0	0	0	0	0	0	0	0
BC051076	0	0	0	0	0	0	0	0
2310003L06Rik	91	48	22	40	79	75	26	38
4931407G18Rik	22	15	4	11	22	16	5	6
Smr3a	8	9	2	3	10	14	2	3
Smr2	0	0	0	0	0	0	0	0
Gm11116	0	0	0	0	0	0	0	0
Gm11115	0	0	0	0	0	0	0	0
Gm7714	0	0	0	0	0	0	0	0
Prol1	0	0	0	0	0	0	0	0
Amtn	0	0	0	0	0	0	0	0
Ambn	0	0	0	0	0	0	0	0
Enam	0	0	0	0	0	0	0	0
Igj	0	0	0	0	0	0	0	0
Utp3	526	347	281	584	342	373	236	332
Rufy3	88	78	55	102	61	70	27	58
Grsf1	3623	2756	1743	2348	3372	3390	1206	1712
Mob1b	302	291	236	261	287	297	147	188
Dck	288	270	272	347	263	308	171	219
Slc4a4	2	3	2	7	2	8	1	3
Gc	0	0	0	0	0	1	0	0
Npffr2	0	0	0	0	0	0	0	0
Adamts3	3	3	3	5	1	1	7	1
Cox18	150	136	131	187	141	159	82	130
Ankrd17	2886	2604	1730	2692	3074	3389	1386	2020
Gm9958	6	3	4	3	0	6	0	3
Alb	0	0	0	0	0	0	0	0
Afp	0	0	0	0	0	0	0	0
Afm	0	0	0	0	0	0	0	0
5830473C10Rik	0	0	0	0	0	0	0	0
Rassf6	2	0	0	1	0	0	2	2
Cxcl5	0	0	0	0	0	0	0	0
Ppbp	0	0	0	0	0	0	0	0
Pf4	1	0	0	0	0	1	0	0
Cxcl3	0	0	0	0	0	0	0	0
Cxcl15	0	0	0	0	0	0	0	0
Cxcl1	0	0	0	0	1	1	0	1
Cxcl2	0	0	0	0	0	0	0	0
Mthfd2l	13	9	7	15	26	23	15	14
Epgn	0	0	0	0	0	0	0	0
Ereg	0	0	0	0	0	0	0	0
Areg	0	0	0	0	0	0	0	0
Btc	4	3	1	0	5	8	2	0
Parm1	121	63	15	27	105	98	19	27
AC120381.1	124	101	125	208	103	109	97	131
Rchy1	293	260	252	365	310	313	160	242
AC165433.1	0	1	1	1	0	0	0	0
Cdkl2	56	56	42	49	58	66	39	43
G3bp2	3278	2536	2860	4387	2369	2700	1945	2793
Uso1	781	625	590	892	693	802	400	676
U90926	0	0	0	0	0	0	0	0
Ppef2	3	6	0	5	5	1	2	1
Naaa	26	29	41	77	16	20	12	23
Sdad1	1222	1111	845	1265	1068	1213	612	864
Cxcl9	0	0	0	0	0	0	0	0
Art3	0	0	0	0	0	0	0	0
Cxcl10	0	0	0	0	0	0	0	0
Cxcl11	0	0	0	0	0	0	0	0
Nup54	428	379	370	602	405	405	297	435
Scarb2	256	235	218	302	192	188	158	199
Fam47e	0	0	0	0	0	0	0	0
Stbd1	1	0	0	0	0	0	0	0
Ccdc158	7	7	6	11	12	8	8	6
Shroom3	728	560	318	477	593	603	286	399
Gm20500	0	0	0	0	0	0	0	0
Sowahb	92	91	43	64	113	87	27	63
Sep-11	3438	2992	2609	3742	2990	3631	2148	2920
Ccni	903	764	585	858	811	865	470	580
2010109A12Rik	0	0	0	0	0	0	0	0
Ccng2	57	53	56	55	45	63	25	41
AC134841.1	0	0	0	0	0	0	0	0
C87414	0	0	0	0	0	0	0	0
Gm16429	0	0	0	0	0	0	0	0
BC061212	0	0	0	0	0	0	0	0
Gm6351	0	0	0	0	0	0	0	0
AC125068.1	0	0	0	0	0	0	0	0
A430089I19Rik	0	0	0	0	0	0	0	0
Gm6502	0	0	0	0	0	0	0	0
AA792892	0	0	0	0	0	0	0	0
Gm7682	0	0	0	0	0	0	0	0
AC164085.1	0	0	0	0	0	1	0	0
Gm3147	0	0	0	0	0	0	0	0
Gm6509	0	0	0	0	0	0	0	0
Gm7919	0	0	0	0	0	0	0	0
Gm3176	0	0	0	0	0	0	0	0
Gm7647	0	0	0	0	0	0	0	0
AC130832.1	0	0	0	0	0	0	0	0
Gm7942	0	0	0	0	0	0	0	0
Gm16513	0	0	0	0	1	0	0	0
Gm10424	0	0	0	0	0	0	0	0
Gm6468	0	0	0	0	0	0	0	0
Gm3259	0	0	0	0	0	0	0	0
D5Ertd577e	0	0	0	0	0	0	0	0
Gm3286	0	0	0	0	0	0	0	0
Gm7978	0	0	0	0	0	0	0	0
Gm7982	0	0	0	0	0	0	0	0
E330014E10Rik	0	0	0	0	0	0	0	0
Cxcl13	0	0	0	0	0	0	0	0
Cnot6l	178	143	136	193	144	148	59	100
Gm5331	4	3	2	7	1	3	0	3
Mrpl1	276	252	245	386	209	251	165	283
Fras1	143	128	56	95	144	152	53	49
Anxa3	73	54	25	46	60	41	13	22
Bmp2k	125	97	83	90	132	127	55	57
Paqr3	88	66	75	134	77	92	69	80
Naa11	118	83	70	115	142	138	87	123
Gk2	2	1	0	1	1	1	0	0
Antxr2	0	0	0	0	0	0	0	0
Prdm8	0	1	2	0	0	0	0	0
Fgf5	0	0	3	3	0	0	1	1
1700007G11Rik	0	0	0	0	0	0	0	0
Gm11111	0	0	0	0	0	0	0	0
1700010H22Rik	0	0	0	0	0	0	0	0
Bmp3	0	0	0	0	0	0	0	0
Prkg2	6	3	2	4	5	1	0	0
Rasgef1b	6	0	1	2	8	4	0	5
A930011G23Rik	1	0	0	0	0	1	0	0
Gm16227	0	0	0	0	0	0	0	0
4930405H06Rik	0	0	0	0	0	0	0	0
Gm16226	0	0	0	0	0	0	0	0
4930522N08Rik	0	0	0	0	0	0	0	0
Hnrnpd	2382	1909	1223	2299	1638	2179	939	1399
Gm17092	2	1	5	3	3	3	3	5
4930524J08Rik	7	5	6	5	9	11	4	10
Hnrpdl	1928	1745	1525	2377	1495	1879	1124	1723
Enoph1	455	505	430	660	464	451	332	481
Tmem150c	0	0	0	0	0	0	0	0
5830403M04Rik	0	0	0	0	0	0	0	0
Gm9932	0	0	0	0	0	0	0	0
Sec31a	1881	1674	1130	1696	1711	1927	912	1221
Lin54	344	294	277	394	307	315	164	253
Cops4	570	498	513	803	507	499	345	529
Plac8	0	3	2	0	0	1	0	0
Coq2	159	141	129	120	104	134	77	103
Gm15777	0	0	0	0	0	0	0	0
Hpse	0	1	0	0	0	0	0	0
Helq	187	159	170	207	185	214	123	140
Mrps18c	148	122	120	224	106	146	81	127
Fam175a	78	82	50	92	101	78	42	75
4930458D05Rik	0	0	0	0	0	0	0	0
Agpat9	2	2	0	2	7	7	0	0
Gm20484	0	0	0	0	0	0	0	0
Nkx6-1	9	4	0	3	3	2	0	0
Cds1	43	86	66	113	42	48	33	37
Wdfy3	712	874	702	952	699	1036	610	781
Gm20548	3	5	8	7	69	93	42	63
Arhgap24	0	0	0	1	3	0	1	0
Mapk10	0	0	1	0	4	2	0	0
Ptpn13	242	174	164	216	218	249	118	133
Slc10a6	0	1	0	0	0	0	0	1
1700016H13Rik	1	2	0	0	0	0	0	0
Aff1	2834	2472	1802	2333	2720	3244	1613	1989
Klhl8	162	135	104	168	101	137	92	115
Hsd17b13	0	0	0	0	0	0	0	0
Hsd17b11	345	311	358	475	307	363	239	345
Nudt9	276	194	198	367	199	219	151	212
Gm17660	0	0	0	0	0	0	0	0
Sparcl1	5	7	0	3	7	2	0	1
Dspp	0	0	0	0	0	0	0	0
Dmp1	0	0	0	0	0	0	0	0
Ibsp	0	0	0	0	0	0	0	0
Mepe	0	0	0	0	0	0	0	0
Spp1	2154	2052	2511	4492	1453	1753	1612	2623
Gm10047	7	7	9	12	8	8	10	8
Pkd2	377	313	293	423	306	361	227	277
BC005561	132	111	109	149	128	118	70	99
Gm8258	36	31	12	31	37	33	10	24
Zfp951	111	88	54	93	139	155	65	98
Abcg3	0	0	2	0	0	0	0	0
Gbp8	0	0	1	0	0	0	0	1
Gbp9	5	0	1	2	10	7	5	6
Gbp4	45	39	12	28	36	32	22	24
Gbp10	0	0	0	0	0	0	0	0
Gbp6	0	0	0	0	0	0	0	0
Lrrc8b	7	7	16	9	8	9	5	6
Lrrc8c	1	0	3	1	7	5	2	1
C230066G23Rik	0	0	0	0	0	0	0	0
Lrrc8d	435	359	503	717	328	367	380	510
Gm15817	0	0	0	0	0	0	0	0
D830014E11Rik	0	0	0	0	1	2	0	0
AC124113.1	1042	853	759	1239	899	934	522	801
Zfp326	100	92	77	144	98	91	77	96
Barhl2	0	0	0	0	0	0	0	0
Zfp644	656	568	553	771	601	587	362	531
Gm17304	0	0	0	0	0	0	0	0
Hfm1	4	4	3	14	8	7	10	6
Cdc7	275	258	226	301	292	249	155	211
Tgfbr3	501	346	92	78	537	482	32	38
Brdt	4	3	2	0	11	12	3	3
Ephx4	0	0	0	0	0	0	0	0
Gm17202	0	0	0	0	0	0	0	0
Lpcat2b	0	0	0	0	0	0	0	0
Btbd8	5	1	3	2	2	1	3	0
A830010M20Rik	12	4	12	14	10	12	4	16
1700028K03Rik	2	0	0	0	1	1	1	1
Glmn	75	64	69	111	75	83	67	69
Rpap2	117	105	79	140	75	90	55	90
A930041C12Rik	0	0	0	0	0	0	0	0
Gfi1	0	0	0	0	0	0	0	0
A430072P03Rik	0	0	0	0	0	0	0	0
Evi5	363	277	287	413	350	324	188	256
1700013N18Rik	0	0	0	0	0	0	0	0
Rpl5	2201	1706	1454	2622	1779	1906	982	1559
Fam69a	57	53	45	80	55	55	25	39
Mtf2	2784	2396	2081	3622	2336	2397	1473	2206
Tmed5	244	221	172	292	254	260	116	225
Ccdc18	104	70	62	100	67	97	49	54
Dr1	655	559	529	750	601	612	384	543
Pigg	84	71	70	102	90	70	72	100
Gm10419	0	0	0	0	0	0	0	0
Pde6b	0	0	0	0	0	0	0	0
Atp5k	177	90	80	241	68	87	49	88
Mfsd7a	1	0	0	1	0	0	0	0
Pcgf3	447	458	344	496	453	455	210	347
Cplx1	2	3	8	11	1	3	4	8
Gak	858	769	567	832	789	859	447	593
Tmem175	69	39	44	46	53	56	41	44
Dgkq	112	133	91	130	117	135	91	86
Idua	23	14	7	11	25	33	15	7
Slc26a1	0	0	0	0	0	0	0	0
Fgfrl1	34	19	8	28	48	48	7	12
Rnf212	0	0	0	0	0	0	0	0
Tmed11	0	0	0	0	0	0	0	0
Vmn2r8	0	0	0	0	0	0	0	0
Vmn2r9	0	0	0	0	0	0	0	0
Gm20629	0	0	0	0	0	0	0	0
Gm10417	0	0	0	0	0	0	0	0
Vmn2r10	0	0	0	0	0	0	0	0
Vmn2r11	0	0	0	0	0	0	0	0
Vmn2r12	0	0	0	0	0	0	0	0
Vmn2r13	0	0	0	0	0	0	0	0
Vmn2r14	0	0	0	0	0	0	0	0
Vmn2r15	0	0	0	0	0	0	0	0
Vmn2r16	0	0	0	0	0	0	0	0
Vmn2r17	0	0	0	0	0	0	0	0
Crlf2	82	69	41	69	87	87	54	63
5430403G16Rik	58	60	52	78	70	49	24	45
4930522L14Rik	103	81	59	95	78	84	37	54
Gm15446	84	81	70	106	65	87	48	69
Zfp932	143	119	99	173	114	112	73	105
Gm17655	7	6	5	7	7	5	3	5
Plcxd1	13	16	13	22	9	13	9	14
Gtpbp6	151	149	174	224	135	168	150	174
Zfp605	33	47	33	51	32	46	27	41
Chfr	517	475	460	609	518	491	334	455
Gm15787	0	0	0	0	0	0	0	0
Golga3	477	325	287	435	377	435	211	305
Ankle2	570	480	462	676	534	538	313	485
Pgam5	471	407	347	595	432	442	312	405
Gm15788	0	0	0	0	0	0	0	0
Pxmp2	54	40	70	70	46	36	41	51
Pole	1075	1033	808	1093	897	1122	628	808
Gm15792	1	0	0	0	0	0	0	0
P2rx2	2	2	5	9	0	0	3	2
Gm1679	0	0	1	3	1	0	1	2
Fbrsl1	546	499	347	451	524	600	312	391
A630023P12Rik	0	0	0	0	0	0	0	0
Galnt9	3	7	6	8	5	6	6	7
Noc4l	537	479	466	692	449	543	302	441
Ddx51	381	354	312	428	334	373	238	292
Ep400	2023	1760	1183	1504	1881	2553	957	1181
Gm15559	0	0	0	0	0	0	0	0
Pus1	554	450	373	501	510	547	279	392
Ulk1	2608	2346	1441	1864	2319	2742	1269	1495
Hscb	61	56	35	58	53	66	24	50
Chek2	339	285	256	334	258	290	150	199
Ttc28	900	684	306	407	881	923	284	314
Pitpnb	756	689	577	941	597	683	435	640
Mn1	22	15	44	78	11	16	33	39
C130026L21Rik	0	0	0	0	0	0	0	0
E130006D01Rik	1	0	0	1	0	0	0	0
Gm16019	0	0	0	0	0	0	0	0
Cryba4	0	0	0	0	0	0	0	0
Crybb1	0	0	0	0	0	0	0	0
Tpst2	309	297	231	389	311	306	188	271
Tfip11	483	412	315	471	412	486	281	340
Srrd	47	40	47	70	42	49	36	55
Hps4	147	153	155	166	136	162	109	141
Gm6583	0	0	0	0	0	0	0	0
Gm20636	0	0	0	0	0	0	0	0
Asphd2	0	0	0	0	0	1	0	1
Sez6l	2	0	0	0	1	1	0	0
Gm6588	0	0	0	0	0	0	0	0
Myo18b	34	27	21	41	31	53	27	24
Adrbk2	26	44	46	72	30	46	23	36
Crybb2	0	0	0	0	0	0	0	0
Crybb3	0	0	0	0	0	0	0	0
2900026A02Rik	82	75	67	92	58	71	38	71
Tmem211	10	13	4	14	8	14	2	4
Sgsm1	47	58	64	90	28	33	39	45
Aym1	0	0	0	0	0	0	0	0
Wscd2	25	23	33	40	12	29	26	27
Cmklr1	13	22	24	54	13	18	23	35
Gm15736	0	0	0	0	0	0	0	0
1700069L16Rik	0	0	0	0	0	0	0	0
Ficd	29	29	24	46	31	31	11	31
Sart3	866	733	701	1002	740	849	500	661
Iscu	109	119	106	165	110	119	79	118
Tmem119	0	0	0	0	0	0	1	0
Selplg	0	0	0	0	0	0	0	0
Coro1c	1476	1348	1328	2100	1127	1372	993	1426
Gm17122	0	0	0	0	0	0	0	0
Ssh1	579	587	452	718	555	674	336	485
Dao	0	0	0	0	0	0	0	0
Svop	17	6	2	3	11	5	5	2
Gm16108	1	0	0	6	0	0	3	1
Usp30	145	131	105	154	158	169	85	131
Alkbh2	98	77	67	115	62	103	58	79
Ung	744	624	597	883	669	793	437	688
Acacb	105	102	73	118	124	131	73	132
Foxn4	4	4	12	19	4	4	6	12
Myo1h	0	0	0	2	0	0	0	0
Gm13789	0	0	0	0	0	1	0	0
Kctd10	250	260	274	384	208	233	200	239
Ube3b	819	751	639	832	755	783	475	592
Mmab	64	51	58	72	45	50	22	59
Mvk	207	180	229	340	178	231	179	276
Gm13790	0	0	0	0	0	0	0	0
BC057022	106	83	50	87	85	91	30	58
Trpv4	6	2	3	6	2	8	3	1
Gltp	250	236	233	324	202	248	141	195
Tchp	80	88	39	77	62	79	38	67
Git2	501	471	252	410	548	604	232	302
4930515G01Rik	4	1	1	5	6	4	0	1
Ankrd13a	969	890	647	1024	846	925	526	691
1500011B03Rik	82	66	58	83	59	98	35	62
Gm20499	26	15	13	14	20	36	10	19
2610524H06Rik	105	95	66	109	133	185	60	103
Gm13821	0	0	0	0	0	0	0	0
4930519G04Rik	0	0	0	0	0	0	0	0
Gm9936	0	0	0	0	0	0	0	0
Oasl2	5	2	0	0	2	1	0	0
Gm13822	0	0	0	0	0	0	0	0
Oasl1	12	5	7	24	5	5	7	15
2210016L21Rik	182	148	163	233	139	138	89	170
Hnf1a	17	26	23	51	18	25	21	25
Gm13824	0	0	0	0	0	0	0	0
Gm13825	0	0	0	0	0	0	0	0
Sppl3	750	691	537	735	698	759	436	533
Gm10401	0	0	0	0	0	0	0	0
Acads	395	308	333	493	301	344	217	314
Unc119b	473	408	345	545	445	432	268	402
Mlec	4324	3768	2286	3552	3499	4195	1878	2575
Cabp1	49	46	39	91	36	36	25	35
Pop5	169	134	176	257	148	130	103	157
Rnf10	2867	2539	2195	3452	2536	3009	1773	2567
Coq5	233	185	185	262	212	205	137	181
Dynll1	1199	926	1026	1523	1079	971	691	1032
Gm13830	1	0	1	0	1	1	0	0
Srsf9	503	425	448	683	360	381	279	429
Gatc	95	81	45	66	91	75	39	55
Triap1	154	166	195	251	126	170	134	174
Cox6a1	928	632	610	1060	679	728	470	781
4930401G09Rik	0	0	0	0	0	0	0	0
Gm13832	1	4	2	0	5	4	0	4
Msi1	269	201	140	233	242	255	110	162
4930430O22Rik	0	0	0	0	0	0	0	0
Pla2g1b	231	179	154	264	117	158	73	129
Sirt4	28	16	14	13	25	32	13	12
Pxn	249	226	183	289	191	233	152	201
Gm13840	0	0	0	0	0	0	0	0
Rplp0	5465	4760	4339	6817	5274	4941	3389	4620
Gcn1l1	2022	1824	1364	1831	1739	2016	1122	1376
Rab35	610	490	474	676	452	537	361	473
Ccdc64	173	174	98	143	201	169	91	114
Cit	1076	1043	830	1165	953	1264	689	866
Gm14508	0	0	0	0	0	0	0	0
Prkab1	266	235	244	347	244	247	151	221
Gm13842	0	0	0	0	0	0	0	0
Tmem233	0	0	0	0	0	1	0	0
